,No,구분,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
705,467,train,태형이는 그의 악보집에서 number0 곡 연주 할 수 있습니다. 그는 number1 곡 다른 기타 코드의 이름을 알고 있습니다. 태형이의 악보집에는 number2 곡 노래가 들어 있습니다. 태형이는 아직도 몇 곡을 배워야합니까?,24 18 52,- number2 number0,28.0,"[1, 2, 3, 4, 36, 6, 37, 38, 14, 15, 16, 18, 24, 25, 26]",3,Subtraction,billy can play number0 songs in his music book . he knows the names of number1 different guitar chords . billy 's music book has number2 songs in it .,how many songs does billy still need to learn ?
706,468,train,"엄마가 number0 개 초콜릿 칩 쿠키를 만들었어요. 재료를 섞는 데 number1 분, 굽는 데 number2 분이 걸렸습니다. 정국과 유정이는 저녁 식사 후에 number3 개 쿠키를 먹었습니다. 남은 쿠키는 몇 개입니까?",32 24 16 9,- number0 number3,23.0,"[32, 1, 2, 3, 33, 5, 34, 8, 9, 10, 15, 16, 17, 24, 25, 26]",3,Subtraction,mom made number0 chocolate chip cookies . it took number1 minutes to mix the ingredients and number2 minutes to bake . julie and matt ate number3 cookies after dinner .,how many cookies were left ?
707,469,train,수학 시험에 number0 문 있습니다. number1 개 질문은 단어 문제입니다. number2 개 질문은 덧셈과 뺄셈 문제입니다. 남준이는 number3 개 질문에만 답할 수 있습니다. 남준이는 몇 개의 질문을 비워 두었습니까?,45 17 28 38,- number0 number3,7.0,"[1, 2, 3, 34, 5, 35, 36, 9, 10, 12, 15, 16, 21, 26, 27, 28]",3,Subtraction,there are number0 questions on the math test . number1 questions are word problems . number2 questions are addition and subtraction problems . steve can only answer number3 questions .,how many questions did steve leave blank ?
708,470,train,은지는 매주 number0 개 새로운 철자 단어를 배웁니다. 그녀의 목표는 number2 개 생일 전에 number1 개 새로운 단어를 배우는 것입니다. 그녀는 이미 number3 개 새로운 단어를 배웠습니다. 은지가 배워야 할 단어가 몇 개 더 필요합니까?,12 60 8 36,- number1 number3,24.0,"[1, 2, 3, 4, 5, 6, 36, 37, 38, 13, 14, 15, 16, 18, 19, 20, 25, 26, 27, 28]",3,Subtraction,kendra learns number0 new spelling words each week . her goal is to learn number1 new words before her number2 birthday . she has already learned number3 new words .,how many more words does kendra need to learn ?
709,471,train,정국이는 그의 새 책의 number0 장 읽었습니다. 그것은 number1 챕 number2 장 있습니다. 정국이는 그날 이후 number3 페이지를 더 읽었습니다. 그는 모두 몇 페이지를 읽었습니까?,37 8 95 25,+ number0 number3,62.0,"[32, 1, 2, 3, 33, 5, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 31]",3,Addition,jake read number0 pages of his new book . it has number1 chapters and number2 pages . jake read number3 more pages later that day .,how many pages has he read in all ?
710,472,train,호석이는 그의 컬렉션에 number0 개 구슬이 있습니다. 은지는 호석이보다 구슬이 number1 개 적습니다. 윤기는 호석이보다 구슬이 number2 개 더 많습니다. 윤기는 얼마나 많은 구슬을 가지고 있습니까?,29 11 14,+ number0 number2,43.0,"[1, 2, 3, 5, 9, 10, 11, 12, 17, 18, 19, 20, 27, 28, 29]",3,Addition,adam has number0 marbles in his collection . mary has number1 fewer marbles than adam . greg has number2 more marbles than adam .,how many marbles does greg have ?
711,473,train,태형이와 정국이는 number0 miles하이킹을 가고 있습니다. 태형이의 배낭의 무게는 number1 pounds입니다. 정국이의 배낭은 무게가 number2 pounds더 적습니다. 그들은 첫날 number3 miles하이킹을 했습니다. 얼마나 남았습니까?,36 25 7 9,- number0 number3,27.0,"[1, 3, 6, 7, 8, 39, 40, 41, 14, 15, 16, 22, 23, 24, 28, 29, 30]",3,Subtraction,tripp and charlotte are going on a number0 mile hike . tripp 's backpack weighs number1 pounds . charlotte 's back pack weighs number2 pounds less . they hiked number3 miles the first day .,how many miles do they have left ?
712,474,train,달콤한 가게는 매 번 number0 일 새로운 사탕 배송을받습니다. 초콜렛 바는 number1 개 통이 있습니다. 막대 사탕은 number2 개 통이 있습니다. 사탕의 경우는 모두 몇 개입니까?,35 25 55,+ number1 number2,80.0,"[32, 1, 8, 9, 10, 13, 14, 15, 21, 22, 23, 30, 31]",3,Addition,the sweet shop gets a new candy shipment every number0 days . there are number1 cases of chocolate bars . there are number2 cases of lollipops .,how many cases of candy altogether ?
713,475,train,유정이는 다음 주 토요일에 number0 번 생일 ​​파티를 할 것입니다. 그녀는 number1 명 초대했다. 그녀의 엄마는 number2 개 샌드위치를 ​​주문했다. number3 명 사람은 파티에 올 수 없습니다. 얼마나 많은 사람들이 유정이의 파티에 참석할까요?,10 64 36 16,- number1 number3,48.0,"[1, 2, 3, 4, 5, 6, 36, 8, 37, 38, 11, 12, 13, 17, 18, 19, 21, 22]",3,Subtraction,dora is having her number0 birthday party next saurday . she invited number1 people . her mom ordered number2 sandwiches . number3 people can not come to the party .,how many people will be at dora 's party ?
714,476,train,그릇에 number0 개 프레즐이 있습니다. 석진은 number1 개 프레즐을 먹었습니다. 호석이는 석진이보다 프레즐을 number2 개 적게 먹었습니다. 지민이는 석진이보다 프레즐을 number3 개 더 먹었습니다. 지민이는 프레즐을 몇 개 먹었습니까?,95 28 9 12,+ number1 number3,40.0,"[32, 1, 2, 3, 33, 5, 34, 9, 10, 11, 14, 15, 16, 17, 22, 23, 24, 25]",3,Addition,there are number0 pretzels in a bowl . john ate number1 pretzels . alan ate number2 fewer pretzels than john . marcus ate number3 more pretzels than john .,how many pretzels did marcus eat ?
715,477,train,유정이는 number0 년 동안 number3 학 가르쳤습니다. 그녀는 올해 number1 명 학생이 있습니다. 그녀는 또한 number2 년 동안 number2 학 가르쳤다. 유정이는 몇 년 동안 가르쳤는가?,18 26 8,+ number0 number2,26.0,"[32, 1, 33, 6, 7, 8, 11, 12, 13, 22, 23, 24, 31]",3,Addition,mrs. randall has taught third grade for number0 years . she has number1 students this year . she also taught second grade for number2 years .,how many years has mrs. randall been teaching ?
716,478,train,버스에는 number0 명 승객이 있었다. number1 명 승객이 첫 번째 정류장에서 내렸습니다. number2 명 승객은 두 번째 정류장에서 내렸습니다. 버스에 몇 명의 승객이 남았습니까?,46 19 15,- - number0 number1 number2,12.0,"[32, 1, 2, 3, 33, 8, 9, 10, 17, 18, 31]",3,TVQ-Final,there were number0 passengers on the bus . number1 passengers got off at the first stop . number2 passengers got off at the second stop .,how many passengers were left on the bus ?
717,479,train,민영이는 유정이가 그린 미스터리를 읽고 있습니다. 그녀의 책에는 number0 장 있습니다. 그녀는 첫날 number1 장 읽었습니다. 다음날 민영이는 독서를 멈출 수 없었습니다. 그녀는 number2 장 읽었습니다. 민영이는 몇 장을 읽었습니까?,95 18 58,- - number0 number1 number2,19.0,"[1, 35, 36, 37, 6, 9, 10, 11, 45, 46, 47, 17, 18, 19]",3,TVQ-Final,alexa is reading a nancy drew mystery . there are number0 pages in her book . she read number1 pages the first day . the next day alexa just could n't stop reading . she read number2 pages .,how many pages does alexa have left to read ?
718,480,train,석진이는 파티를 한 그릇에 number0 개 프레즐을 넣었습니다. 그의 친구들은 그들 중 number1 개 먹었습니다. 석진이는 number2 개 더 프레즐을 넣었습니다. 그 때 그릇에 몇 개의 프레즐이 있었습니까?,86 49 27,+ - number0 number1 number2,64.0,"[32, 1, 2, 3, 4, 6, 13, 14, 15, 20, 21, 22, 23, 30, 31]",3,TVQ-Final,sam put number0 pretzels in a bowl for the party . his friends ate number1 of them . sam put in number2 more pretzels .,how many pretzels were in the bowl then ?
719,481,train,호석이는 number0 dollars가 있습니다. 그는 number1 dollars짜리 카메라를 사고 싶어합니다. 그는 또한 number2 dollars CD 플레이어를 사고 싶어합니다. 호석이에게 얼마나 더 많은 돈이 필요합니까?,79 35 59,- + number1 number2 number0,15.0,"[1, 2, 3, 10, 11, 12, 20, 21, 22, 29, 30, 31]",3,TVQ-Change,tommy has $ number0 . he wants to buy a $ number1 camera . he also wants to buy a $ number2 cd player .,how much more money does tommy need ?
720,482,train,남준이는 체커 게임을 좋아합니다. 그는 어제 number0 번 게임을 했다. 그는 오늘 number1 번 게임을했다. 남준이는 number2 번 게임에서 졌습니다. 그는 몇 게임을 이겼습니까?,37 49 18,- + number0 number1 number2,68.0,"[1, 5, 7, 8, 9, 13, 14, 15, 19, 20, 21, 26, 27, 28]",3,TVQ-Change,omar loves to play checkers . he played number0 games yesterday . he played number1 games today . omar lost number2 games .,how many games did he win ?
721,483,train,number0 명의 학생이 컴퓨터 수업에 등록했습니다. number2 학 number1 명 number3 학 number2 명 있었다. 나머지 학생들은 number3 학 얼마나 많은 number4 학 학생들이 컴퓨터 수업을 들었습니까?,94 24 29 4 4,- - number0 number1 number2,41.0,"[0, 1, 2, 3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16, 23, 24, 25, 28, 29, 30, 31, 32, 33]",3,TVQ-Final,number0 students signed up for computer classes . there were number1 second graders and number2 third graders . the rest of the students were number3 graders .,how many number4 graders took computer classes ?
722,484,train,태형이는 일부 슈퍼 히어로 트레이딩 카드가 있습니다. 그는 카드 number0 개 잃었습니다. 그는 그의 가장 친한 친구에게 카드 number1 개 주었다. 이제 그는 number2 개 카드가 남았습니다. 얼마나 많은 카드를 태형이는 처음에 가지고 있었습니까?,14 19 45,+ + number2 number0 number1,78.0,"[1, 2, 3, 37, 38, 39, 9, 10, 11, 15, 16, 17, 26, 27, 28]",3,TVQ-Initial,j.t . has some superhero trading cards . he lost number0 of them . he gave number1 of them to his best friend . now he has number2 cards left .,how many cards did j.t . have at first ?
723,485,train,정국이는 많은 책이 있습니다. 그는 그의 가장 친한 친구에게 number0 권 책을 주었다. 그는 그의 남동생에게 number1 권 책을 주었다. 이제 정국이는 그의 컬렉션에 number2 권 책을 가지고 있습니다. 그는 처음에 몇 권의 책을 가지고 있었습니까?,14 8 60,+ + number2 number0 number1,82.0,"[1, 2, 5, 38, 39, 40, 12, 13, 14, 20, 21, 22, 26, 27, 28]",3,TVQ-Initial,evan has a large collection of books . he gave his best friend number0 books . he gave his little brother number1 books . now evan has number2 books in his collection .,how many books did he have at first ?
724,486,train,할머니 댁까지 number0 miles입니다. 윤기는 number1 miles을 운전했습니다. 그는 디저트로 파이를 사기 위해 멈췄다. 그 다음 그는 number2 miles을 운전하고 차에 주유를하기 위해 멈췄다. 할머니 집에 도착할 때까지 몇 miles 더 남았습니까?,78 35 18,- - number0 number1 number2,25.0,"[1, 2, 3, 6, 11, 12, 13, 45, 46, 47, 26, 27, 28]",3,TVQ-Final,it is number0 miles to grandma 's house . mr. welch drove number1 miles . he stopped to buy a pie for dessert . then he drove number2 miles and stopped to put gas in the car .,how many more miles until he reaches grandma 's house ?
725,487,train,지민이는 친구들과 모노폴리를 하고 있습니다. 그는 이미 number0 채 집을 가지고 있습니다. 지민이는 공원 장소를 사기 위해 number1 채 주택을 돈으로 거래했습니다. 그는 집세를 너무 많이 모아서 number2 채 집을 더 사기로 결정했다. 지민이는 그때 몇 집을 가졌습니까?,27 8 12,+ - number0 number1 number2,31.0,"[1, 2, 35, 36, 37, 38, 5, 9, 10, 11, 12, 44, 45, 46, 16, 17, 18]",3,TVQ-Final,sean is playing monopoly with his friends . he already has number0 houses . sean traded in number1 houses for money to buy park place . he collected so much rent that he decided to buy number2 more houses .,how many houses did sean have then ?
726,488,train,은지의 신발가게는 매월 number0 쌍 신발을 판매해야합니다. 그들은 지난주에 number1 쌍 이 주에 number2 쌍 팔았습니다. 얼마나 더 많은 신발을 팔아야합니까?,80 27 12,- - number0 number1 number2,41.0,"[32, 1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 18, 19, 20, 30, 31]",3,TVQ-Final,lou 's shoes must sell number0 pairs of shoes each month . they sold number1 pairs last week and number2 pairs this week .,how many more pairs of shoes must they sell ?
727,489,train,유나는 쿠키 패키지를 사고 싶어합니다. 쿠키 비용은 number0 cents입니다. 유나는 number1 cents를 가지고 있습니다. 얼마나 더 많은 돈이 필요합니까?,65 27,- number0 number1,38.0,"[1, 2, 11, 12, 13, 16, 17, 18, 24, 25, 26]",3,Subtraction,diane wants to buy a package of cookies . the cookies cost number0 cents . diane has number1 cents .,how much more money does she need ?
728,490,train,남준이는 number0 개 야구 카드를 가졌습니다. 그의 아버지는 그에게 좀 더 주었다. 그리고 남준이는 number1 개 야구 카드를 가졌습니다. 남준이는 아버지로부터 야구 카드를 몇 장 받았나요?,31 50,- number1 number0,19.0,"[1, 2, 3, 4, 6, 15, 16, 17, 18, 27, 28, 29]",3,Subtraction,andy had number0 baseball cards . his dad gave him some more . then andy had number1 baseball cards .,how many baseball cards did andy get from his dad ?
729,491,train,태형이는 오늘 체육 수업에서 팔 굽혀 펴기를 number0 개 했습니다. 호석이는 태형이보다 팔 굽혀 펴기를 number1 개 더 많이했습니다. 호석이는 팔 굽혀 펴기를 몇 했습니까?,47 15,+ number0 number1,62.0,"[1, 2, 3, 5, 10, 11, 12, 13, 20, 21, 22]",3,Addition,zachary did number0 push-ups in gym class today . david did number1 more push-ups than zachary .,how many push-ups did david do ?
730,492,train,유나는 그녀의 좋은 도우미 차트에 number0 개 스티커를 가지고 있습니다. 그녀는 상을 받으려면 number1 개 스티커가 필요합니다. 유나에게 얼마나 더 많은 스티커가 필요합니까?,11 30,- number1 number0,19.0,"[1, 2, 3, 6, 11, 12, 13, 23, 24, 25]",3,Subtraction,christine has number0 stickers on her good helper chart . she needs number1 stickers to get a prize .,how many more stickers does christine need ?
731,493,train,민영이가 브라우니를 구웠어요. 그녀는 그날 학교에 number0 개 브라우니를 가져 왔습니다. 그녀는 집에 number1 개 브라우니를 남겼습니다. 민영이는 얼마나 많은 브라우니를 구웠나요?,16 24,+ number0 number1,40.0,"[1, 5, 6, 7, 8, 15, 16, 17, 24, 25, 26]",3,Addition,rachel baked some brownies . she brought number0 brownies to school that day . she left number1 brownies at home .,how many brownies did rachel bake ?
732,494,train,number0 개의 숫자의 합은 number1 이 number2 번 수는 number3 입 다른 숫자는 무엇입니까?,2 62 1 27,- number1 number3,35.0,"[2, 3, 4, 5, 6, 8, 9, 12, 13, 14, 16, 17, 18]",3,Subtraction,the sum of number0 numbers is number1 number2 of the numbers is number3 what,is the other number ?
733,495,train,민영은 걸스카우트 쿠키 number0 박 팔았다. 은지는 민영이이보다 number1 박 더 많이 팔았다. 은기는 쿠키를 몇 박스 팔았나요?,54 17,+ number0 number1,71.0,"[1, 2, 3, 7, 10, 11, 12, 13, 22, 23, 24]",3,Addition,kim sold number0 boxes of girl scout cookies . jennifer sold number1 more boxes than kim .,how many boxes of cookies did jennifer sell ?
734,496,train,태형이는 number0 동물 스티커를 수집했습니다. 유정이는 태형이보다 스티커를 number1 개 적게 수집했습니다. 유정이는 얼마나 많은 스티커를 수집 했습니까?,97 18,- number0 number1,79.0,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 17, 18, 19]",3,Subtraction,belle collected number0 animal stickers . carolyn collected number1 fewer stickers than belle .,how many stickers did carolyn collect ?
735,497,train,지민이는 주머니에 number0 개 구슬을 가지고있었습니다. 그는 밖에서 놀 때 약간을 잃었습니다. 이제 그는 number1 개 구슬 만 가지고 있습니다. 지민이는 얼마나 많은 구슬을 잃었습니까?,33 18,- number0 number1,15.0,"[1, 2, 3, 5, 21, 22, 23, 28, 29, 30]",3,Subtraction,peter had number0 marbles in his pocket . he lost some when he went outside to play . now he only has number1 marbles .,how many marbles did peter lose ?
736,498,train,남준이는 number0 곡 노래에 대한 단어를 배웠습니다. 그는 여름 캠프에서 number1 곡 더 많은 노래를 배웠습니다. 빈센트는 지금 얼마나 많은 노래를 알고 있습니까?,56 18,+ number0 number1,74.0,"[1, 3, 5, 6, 7, 10, 11, 12, 13, 22, 23, 24]",3,Addition,vincent has learned the words to number0 songs . he learned number1 more songs at summer camp .,how many songs does vincent know now ?
737,499,train,민영이는 지민이보다 구슬이 number0 개 더 많습니다. 지민이는 윤기보다 number1 개 적은 수의 구슬을 가지고 있습니다. 윤기는 number2 개 구슬을 가지고 있습니다. 민영이는 얼마나 많은 구슬을 가지고 있습니까?,12 45 70,+ - number2 number1 number0,37.0,"[1, 2, 3, 4, 5, 9, 10, 11, 17, 18, 19, 24, 25, 26]",3,TVQ-Final,laurie has number0 more marbles than kurt . kurt has number1 marbles less than dennis . dennis has number2 marbles .,how many marbles does laurie have ?
738,500,train,"호석이와 정국이, 지민이는 나이를 더했다. 합계는 number0 살 이었다. 호석이는 number1 살 정국이는 number2 살 입니다. 지민이는 몇살입니까?",48 19 17,- - number0 number1 number2,12.0,"[11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23]",3,TVQ-Initial,kate maggie and sue added up their ages . the total was number0 kate is number1 and maggie is number2 how,old is sue ?
739,501,train,정국이는 매일 점심 값으로 number0 cent를 받습니다. 그는 number1 cent에 주스 상자를 샀습니다다. 그는 또한 컵 케이크를 샀습니다. 정국이는 number2 cent가 남았습니다. 컵 케이크 비용은 얼마입니까?,75 27 8,- - number0 number1 number2,40.0,"[1, 2, 3, 4, 33, 34, 35, 14, 15, 16, 25, 26, 27]",3,TVQ-Change,anthony gets number0 cents every day for lunch . he bought a juice box for number1 cents . he also bought a cupcake . anthony had number2 cents left .,how much did the cupcake cost ?
740,502,train,12 월은 장난감 가게의 바쁜 달입니다. 선반에 number0 개의 게임이 있습니다. 첫 주에 number1 개의 게임이 판매되었습니다. 가게는 공장에서 number2 개의 더 많은 게임을 받았습니다. 그때 가게는 몇 개의 게임을 가지고 있었습니까?,95 68 47,+ - number0 number1 number2,74.0,"[1, 2, 4, 5, 40, 41, 42, 11, 12, 13, 18, 19, 28, 29, 30, 31]",3,TVQ-Final,december is a busy month for the toy store . they had number0 games on the shelf . number1 games were sold the first week . the store got number2 more games from the factory .,how many games did they have then ?
741,503,train,"3학년 학생들은 박람회를 하고 있습니다. 그들은 팔 수 있는 number0 장의 티켓이 있습니다. 그들은 첫 주에 number1 장의 티켓을, 둘째 주에 number2 장의 티켓을 판매했습니다. 판매할 티켓이 몇 장 남았습니까?",90 38 17,- - number0 number2 number1,35.0,"[1, 35, 36, 37, 6, 9, 10, 11, 16, 17, 18, 22, 23, 24]",3,TVQ-Final,the third graders are having a fair . they have number0 tickets to sell . they sold number1 tickets the first week and number2 tickets the second week .,how many tickets do they have left to sell ?
742,504,train,지민이는 박람회에서 상품으로 사용할 장난감을 수집했습니다. 그는 number0 개의 동물 모양을 수집했습니다. 그는 또한 number1 개의 원반과 여러 개의 요요를 수집했습니다. 케빈은 모두 number2 개의 상품을 가졌습니다. 지민이는 몇 개의 요요를 모았나요?,14 18 50,- - number2 number1 number0,18.0,"[1, 2, 3, 36, 37, 38, 12, 13, 14, 15, 19, 20, 21, 27, 28, 29]",3,TVQ-Initial,kevin collected toys to use as prizes at the fair . he collected number0 stuffed animals . he also collected number1 frisbees and several yo-yos . kevin has number2 prizes in all .,how many yo-yos did kevin collect ?
743,505,train,석진이가 음식을 팔고 있습니다. 그는 number0 개의 칩을 팔았습니다. 그는 칩보다 핫도그를 number1 개 적게 팔았습니다. 그는 핫도그보다 number2 개의 음료를 더 많이 팔았습니다. 석진이는 몇 잔의 음료를 팔았습니까?,27 8 12,+ - number0 number1 number2,31.0,"[1, 3, 4, 5, 6, 36, 37, 9, 10, 11, 38, 16, 17, 18, 20, 25, 26, 27, 28]",3,TVQ-Change,jasper is in charge of the refreshments . he sold number0 bags of chips . he sold number1 fewer hot dogs than chips . he sold number2 more drinks than hot dogs .,how many drinks did jasper sell ?
744,506,train,아이스링크에서 대여 할 수있는 스케이트가 number0 쌍 있습니다. 아이스링크가 오픈하고 number1 명의 사람들이 스케이트를 빌렸습니다. 처음 1 시간 동안 number2 명의 사람들이 더 스케이트를 빌렸습니다. 몇 쌍의 스케이트가 남아 있습니까?,85 18 25,- - number0 number1 number2,42.0,"[1, 3, 4, 5, 35, 36, 37, 11, 12, 21, 22, 23]",3,TVQ-Final,the ice rink has number0 pairs of skates to rent . number1 people rented skates when the ice rink opened . number2 more people rented skates during the first hour .,how many pairs of skates are left ?
745,507,train,태형이는 앞마당에 사탕 가게를 열었습니다. 그는 number0 개의 사탕을 가지고 있습니다. 그는 월요일에 number1 개의 사탕을 팔았습니다. 화요일에 그것보다 훨씬 더 많이 팔았습니다. 수요일까지 number2 개만 남았습니다. 태형이는 화요일에 사탕 몇 개를 팔았습니까?,80 15 7,- - number0 number1 number2,58.0,"[1, 4, 7, 42, 43, 12, 13, 14, 44, 21, 22, 23, 54, 55, 56]",3,TVQ-Change,jake set up a candy stand in his front yard . he has number0 pieces of candy to sell . he sold number1 pieces of candy on monday . he sold much more than that on tuesday . by wednesday jakes only had number2 pieces left .,how many pieces of candy did jake sell on tuesday ?
746,508,train,스키리조트는 1월에 내린 눈은 number0 인치라고 알렸습니다. 그들은 첫 주 동안 number1 인치의 눈을 측정했습니다. 그들은 두 번째 주에 number2 인치의 눈을 측정했습니다. 남은 기간 동안 눈이 얼마나 많이 내렸습니까?,65 18 25,- - number0 number1 number2,22.0,"[1, 3, 4, 5, 40, 41, 42, 12, 13, 14, 23, 24, 25]",3,TVQ-Final,the ski resort reported number0 inches of snow in january . they measured number1 inches of snow during the first week . they measured number2 inches of snow the second week .,how much snow did they get the rest of the month ?
747,509,train,남준이는 잃어버린 골프공을 찾아서 용돈을 벌고 있습니다. 그의 목표는 매주 주말에 number0 개의 골프공을 찾는 것입니다. 그는 토요일에 number1 개의 골프공을 찾았습니다. 그는 일요일에 number2 개의 골프 공을 더 찾았습니다. 남준이는 목표를 달성하기 위해 몇 개의 골프공을 찾아야 합니까?,48 16 18,- - number0 number1 number2,14.0,"[1, 2, 3, 4, 5, 7, 13, 14, 15, 16, 20, 21, 22, 23, 28, 29, 30, 32, 47, 48, 49]",3,TVQ-Change,corey earns extra money finding lost golf balls . his goal is to find number0 golfballs every weekend . he found number1 golf balls on saturday . he found number2 more golf balls on sunday .,how many more golf balls does corey need to find to reach his goal ?
748,510,train,윤기와 호석이는 의자를 체육관으로 옮기고 있습니다. 그들은 number0 개의 의자를 옮기는 데 동의했습니다. 윤기는 number1 개의 의자를 옮겼습니다. 호석이는 number2 개의 의자를 옮겼습니다. 옮겨야 할 의자가 몇 개 더 남았습니까?,74 28 29,- - number0 number1 number2,17.0,"[1, 2, 3, 4, 35, 36, 7, 37, 13, 14, 15, 18, 19, 20, 24, 25, 26]",3,TVQ-Final,carey and pat are moving chairs to the gym . they agreed to move number0 chairs . carey moved number1 chairs . pat has moved number2 chairs .,how many more chairs do they have left to move ?
749,511,train,유나는 사탕 한 봉지를 가지고 있습니다. 그녀는 그녀의 친구에게 number0 개를 주었습니다. 유나는 number1 개를 먹었습니다. 이제 그녀는 number2 조각이 남았습니다. 유나는 처음에 몇 개의 사탕을 가지고 있었습니까?,18 7 16,+ + number2 number1 number0,41.0,"[1, 2, 34, 35, 36, 7, 8, 9, 10, 16, 17, 18, 22, 23, 24]",3,TVQ-Initial,jean had a bag of candy . she gave number0 pieces to her friend . jean ate number1 pieces . now she has number2 pieces left .,how many pieces of candy did jean have at first ?
750,512,train,은지는 number0 개의 구슬 목걸이를 만들었습니다. 그녀는 공예 박람회에서 number1 개를 팔았습니다. 그녀는 친구에게 number2 개를 주었습니다. 은지는 그 때 몇 개의 목걸이를 가지고 있었습니까?,60 16 18,- - number0 number1 number2,26.0,"[1, 2, 3, 4, 5, 7, 8, 9, 15, 16, 17, 25, 26, 27]",3,TVQ-Final,charlene made number0 bead necklaces . she sold number1 at a craft fair . she gave number2 to her friends .,how many necklaces did charlene have then ?
751,513,train,코치는 팀을 위해 number0 개의 초대형 피자를 샀습니다. number1 조각으로된 완전한 피자가 있었습니다. 팀이 조각의 일부를 먹은 후에 number2 개의 조각이 남았습니다. 팀은 피자를 몇 조각 먹었습니까?,2 32 7,- number1 number2,25.0,"[1, 2, 3, 4, 5, 6, 39, 8, 9, 40, 41, 12, 13, 14, 28, 29, 30]",3,Difference,the coach bought number0 extra large pizzas for the team . there were number1 slices of pizza totally . after the team ate some of the slices there were number2 slices left .,how many slices of pizza did the team eat ?
752,514,train,정국이는 슈퍼마켓에서 일합니다. 그는 초콜릿 number0 상자를 선반에 놓았습니다. 이미 number1 개의 박스가 있었습니다. 그날 늦게 정국이는 선반에 있는 number2 개의 상자를 세었습니다. 몇 박스의 초콜릿이 없어졌습니까?,26 15 22,+ - number0 number2 number1,19.0,"[1, 4, 7, 8, 9, 40, 41, 42, 19, 20, 21, 28, 29, 30]",3,TVQ-Change,ramon works at the supermarket . he put number0 boxes of choco delights on the shelf . there were already number1 boxes there . later that day ramon counted number2 boxes on the shelf .,how many boxes of choco delights were missing ?
753,515,train,민영이는 number0 개의 풍선이 있습니다. number1 개는 빨간색이고 number2 개는 녹색입니다. 나머지 풍선은 파란색입니다. 민영이는 파란색 풍선을 몇 개 가지고 있습니까?,67 29 17,- - number0 number1 number2,21.0,"[1, 2, 3, 5, 6, 10, 11, 12, 27, 28, 29]",3,TVQ-Initial,amy has number0 balloons . number1 of them are red and number2 are green . the rest of the balloons are blue .,how many blue balloons does amy have ?
754,516,train,number0 명의 어린이와 number1 명의 성인이 트랙 대회에 갔습니다. 경기장에는 number2 개의 좌석이 있습니다. 얼마나 많은 좌석이 비어 있었습니까?,52 29 95,- - number2 number0 number1,14.0,"[0, 1, 2, 3, 4, 5, 13, 14, 15, 19, 20, 21]",3,TVQ-Final,number0 children and number1 adults went to the track meet . the stadium has number2 seats .,how many seats were empty ?
755,517,train,지민이는 각 이벤트 후 1 등상을 받았습니다. 그는 처음에 number0 개의 상을 받았습니다. 그는 아침에 number1 개의 상을 땄습니다. 그는 오후에 number2 개의 상을 받았습니다. 지민이의 상은 몇 개 남았습니까?,38 14 16,- - number0 number1 number2,8.0,"[32, 1, 2, 3, 4, 8, 42, 43, 12, 13, 14, 44, 21, 22, 23, 30, 31]",3,TVQ-Final,mr. lee gave out first place ribbons after each event . he had number0 ribbons at the start . he gave away number1 ribbons in the morning . he gave out number2 ribbons in the afternoon .,how many ribbons did mr. lee have left ?
756,518,train,석진이는 number0 개의 구슬을 가지고 있고 number1 번 게임을 했습니다. 그는 첫 경기에서 number2 개의 구슬을 잃었습니다. 그는 두 번째 게임에서 number3 개의 구슬을 땄습니다. 그럼 앨빈은 몇 개의 구슬을 가지고 있었습니까?,57 2 18 25,+ - number0 number2 number3,64.0,"[32, 1, 2, 3, 33, 5, 6, 7, 10, 11, 12, 19, 20, 21, 31]",3,TVQ-Final,alvin had number0 marbles and played number1 games . he lost number2 marbles during the first game . he won number3 marbles during the second game .,how many marbles did alvin have then ?
757,519,train,유정이와 은지는 금요일에 레모네이드 가게를 시작했습니다. 그들은 number0 개의 플라스틱 컵을 샀습니다. 그들은 레모네이드를 많이 팔았고 number1 잔만 남았습니다. 유정이와 은지는 컵 몇 개를 사용 했습니까?,85 18,- number0 number1,67.0,"[1, 34, 3, 35, 36, 7, 8, 11, 12, 13, 14, 24, 25, 26]",3,Subtraction,cheryl and lori started a lemonade stand on friday . they bought number0 plastic cups . they sold a lot of lemonade and only had number1 cups left .,how many cups did cheryl and lori use ?
758,520,train,유정이는 number0 개의 레몬을 세었습니다. 은지는 레몬을 number1 개 더 샀습니다. 소녀들은 모두 몇 개의 레몬을 가지고 있습니까?,16 28,+ number0 number1,44.0,"[1, 2, 3, 6, 7, 8, 9, 16, 17, 18]",3,Addition,cheryl counted number0 lemons . lori bought number1 more lemons .,how many lemons do the girls have altogether ?
